BOROCD,PUMA,BOROUGH_CD,CD NAME,Hispanic,White,Black,Asian,Other,White-only,Non-white,Majority,Poverty,Beds
403,PUMA 4102,Queens CD 3,Jackson Heights & North Corona,65.5,46.5,8,18.2,29.5,10.2,89.8,Hispanic,20.7,444
404,PUMA 4107,Queens CD 4,Elmhurst & South Corona,50.3,42.6,9.4,34,15.1,7.1,92.9,Hispanic,21.8,325
405,PUMA 4110,Queens CD 5,"Ridgewood, Glendale & Middle Village",35.7,82.7,2.6,8.5,7.4,54.1,45.9,White,14.7,30
406,PUMA 4108,Queens CD 6,Forest Hills & Rego Park,14.9,65.3,3.5,27.9,4.9,53.7,46.3,White,10.2,0
407,PUMA 4103,Queens CD 7,"Flushing, Murray Hill & Whitestone",16.9,37.6,3.1,51.8,9.5,28.2,71.8,Asian,15.5,132
408,PUMA 4106,Queens CD 8,"Briarwood, Fresh Meadows & Hillcrest",18.6,43.2,13.4,35.6,11.3,32.8,67.2,White,15.4,132
409,PUMA 4111,Queens CD 9,Richmond Hill & Woodhaven,40.9,39.6,9.7,28.3,26.9,18.5,81.5,Hispanic,15.3,0
410,PUMA 4113,Queens CD 10,Howard Beach & Ozone Park,23.8,36.6,18.9,22.6,26.3,23.5,76.5,White,13.3,239
411,PUMA 4104,Queens CD 11,"Bayside, Douglaston & Little Neck",11.7,52,3,43.2,4.2,42.5,57.5,White,7.9,0
412,PUMA 4112,Queens CD 12,"Jamaica, Hollis & St. Albans",19,6.9,68.2,11.9,16.4,1.7,98.3,Black,16.2,1937
413,PUMA 4105,Queens CD 13,"Queens Village, Cambria Heights & Rosedale",11.1,19,60.1,16.9,6.9,12.5,87.5,Black,8.9,783
414,PUMA 4114,Queens CD 14,"Far Rockaway, Breezy Point & Broad Channel",22.8,50.3,40.2,3.6,7.8,35.8,64.2,White,20.2,223
501,PUMA 3903,Staten Island CD 1,"Port Richmond, Stapleton & Mariner's Harbor",29,59.3,26.2,8.4,9,38.9,61.1,White,19.9,46
502,PUMA 3902,Staten Island CD 2,New Springville & South Beach,12.3,80.2,4.8,13.7,2.3,69.8,30.2,White,8.8,0
503,PUMA 3901,Staten Island CD 3,"Tottenville, Great Kills & Annadale",10.1,93.3,1.8,4.8,0.9,83.5,16.5,White,7.3,0
