RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01
97431,93722,Fresno,CA,Fresno,Fresno,109,135
79040,48180,Taylor,MI,Detroit,Wayne,110,76
92341,78245,San Antonio,TX,San Antonio,Bexar,111,82
65133,17603,Lancaster,PA,Lancaster,Lancaster,112,105
98304,95608,Carmichael,CA,Sacramento,Sacramento,113,218
94890,85308,Glendale,AZ,Phoenix,Maricopa,114,141
97740,94533,Fairfield,CA,Vallejo,Solano,115,221
84613,60611,Chicago,IL,Chicago,Cook,116,334
76491,43055,Newark,OH,Columbus,Licking,117,81
63776,14850,Ithaca,NY,Ithaca,Tompkins,118,155
95309,87114,Albuquerque,NM,Albuquerque,Bernalillo,119,106
72362,33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,120,168
93203,80013,Aurora,CO,Denver,Arapahoe,121,203
66705,20906,Silver Spring,MD,Washington,Montgomery,122,214
74156,37075,Hendersonville,TN,Nashville,Sumner,123,120
62022,11211,New York,NY,New York,Kings,124,1038
96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,125,830
62093,11385,New York,NY,New York,Queens,126,435
94870,85281,Tempe,AZ,Phoenix,Maricopa,127,168
76971,44060,Mentor,OH,Cleveland,Lake,128,98
76511,43081,Westerville,OH,Columbus,Franklin,129,115
69672,28027,Concord,NC,Charlotte,Cabarrus,130,105
94940,85364,Yuma,AZ,Yuma,Yuma,131,93
61169,8753,Toms River,NJ,New York,Ocean,132,159
96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,133,413
96467,91709,Chino Hills,CA,Riverside,San Bernardino,134,325
87019,65807,Springfield,MO,Springfield,Greene,135,78
84622,60620,Chicago,IL,Chicago,Cook,136,113
90637,75034,Frisco,TX,Dallas-Fort Worth,Collin,137,143
84635,60634,Chicago,IL,Chicago,Cook,138,212
98432,95823,Sacramento,CA,Sacramento,Sacramento,139,174
97023,92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,140,383
69340,27410,Greensboro,NC,,Guilford,141,104
60499,6902,Stamford,CT,Stamford,Fairfield,142,245
76534,43123,Grove City,OH,Columbus,Franklin,143,103
66135,20011,Washington,DC,Washington,District of Columbia,144,401
84285,60016,Des Plaines,IL,Chicago,Cook,145,175
96651,92109,San Diego,CA,San Diego,San Diego,146,549
77400,45011,Hamilton,OH,Cincinnati,Butler,147,97
84629,60628,Chicago,IL,Chicago,Cook,148,94
96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,149,596
96546,91911,Chula Vista,CA,San Diego,San Diego,150,285
77094,44256,Medina,OH,Cleveland,Medina,151,110
91198,76028,Burleson,TX,Dallas-Fort Worth,Johnson,152,101
72901,33908,Fort Myers,FL,Fort Myers,Lee,153,157
58660,2148,Malden,MA,Boston,Middlesex,154,273
95817,89121,Las Vegas,NV,Las Vegas,Clark,155,99
72737,33647,Tampa,FL,Tampa,Hillsborough,156,115
95813,89117,Las Vegas,NV,Las Vegas,Clark,157,137
78823,47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,158,92
96825,92345,Hesperia,CA,Riverside,San Bernardino,159,138
76539,43130,Lancaster,OH,Columbus,Fairfield,160,97
69849,28314,Fayetteville,NC,Fayetteville,Cumberland,161,72
97743,94536,Fremont,CA,San Francisco,Alameda,162,566
96882,92503,Riverside,CA,Riverside,Riverside,163,231
86717,65203,Columbia,MO,Columbia,Boone,164,97
60518,7002,Bayonne,NJ,New York,Hudson,165,173
65779,19111,Philadelphia,PA,Philadelphia,Philadelphia,166,119
96667,92126,San Diego,CA,San Diego,San Diego,167,361
69336,27406,Greensboro,NC,,Guilford,168,75
96477,91730,Rancho Cucamonga,CA,Riverside,San Bernardino,169,271
96083,90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,170,367
99142,97229,Cedar Mill,OR,Portland,Washington,171,243
70698,29732,Rock Hill,SC,Charlotte,York,172,97
69450,27610,Raleigh,NC,Raleigh,Wake,173,94
91325,76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,174,105
99563,98103,Seattle,WA,Seattle,King,175,464
61797,10457,New York,NY,New York,Bronx,176,248
67010,21740,Hagerstown,MD,Hagerstown,Washington,177,107
91744,77095,Houston,TX,Houston,Harris,178,88
72247,32822,Orlando,FL,Orlando,Orange,179,106
67180,22191,Woodbridge,VA,Washington,Prince William,180,194
96125,90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,181,337
84628,60626,Chicago,IL,Chicago,Cook,182,172
96934,92592,Temecula,CA,Riverside,Riverside,183,194
95314,87120,Albuquerque,NM,Albuquerque,Bernalillo,184,109
99500,98012,Bothell,WA,Seattle,Snohomish,185,228
95985,90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,186,763
96817,92336,Fontana,CA,Riverside,San Bernardino,187,205
70842,30062,Marietta,GA,Atlanta,Cobb,188,140
78085,46307,Crown Point,IN,Chicago,Lake,189,106
72350,33012,Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,190,157
93263,80134,Parker,CO,Denver,Douglas,191,197
67722,23454,Virginia Beach,VA,Virginia Beach,Virginia Beach City,192,162
78042,46227,Indianapolis,IN,Indianapolis,Marion,193,81
62048,11238,New York,NY,New York,Kings,194,974
66785,21117,Owings Mills,MD,Baltimore,Baltimore,195,159
96208,90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,196,336
84647,60649,Chicago,IL,Chicago,Cook,197,111
60599,7093,West New York,NJ,New York,Hudson,198,251
62084,11372,New York,NY,New York,Queens,199,478
100179,99301,Pasco,WA,Kennewick,Franklin,200,125
71895,32244,Jacksonville,FL,Jacksonville,Duval,201,84
62043,11233,New York,NY,New York,Kings,202,576
78975,48103,Ann Arbor,MI,Ann Arbor,Washtenaw,203,220
72488,33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,204,173
96816,92335,Fontana,CA,Riverside,San Bernardino,205,231
96590,92021,El Cajon,CA,San Diego,San Diego,206,279
95043,85705,Tucson,AZ,Tucson,Pima,207,99
66142,20019,Washington,DC,Washington,District of Columbia,208,248
91221,76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,209,105
76597,43230,Gahanna,OH,Columbus,Franklin,210,113
67655,23320,Chesapeake,VA,Virginia Beach,Chesapeake City,211,127
67182,22193,Woodbridge,VA,Washington,Prince William,212,198
97118,93065,Simi Valley,CA,Ventura,Ventura,213,307
77850,45840,Findlay,OH,Findlay,Hancock,214,85
79044,48185,Westland,MI,Detroit,Wayne,215,105
77030,44130,Parma Heights,OH,Cleveland,Cuyahoga,216,89
96643,92101,San Diego,CA,San Diego,San Diego,217,531
67222,22304,Alexandria,VA,Washington,Alexandria City,218,253
96368,91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,219,300
62034,11223,New York,NY,New York,Kings,220,595
71050,30331,Atlanta,GA,Atlanta,Fulton,221,68
66683,20878,Gaithersburg,MD,Washington,Montgomery,222,264
70859,30080,Smyrna,GA,Atlanta,Cobb,223,131
96959,92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,224,522
72530,33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,225,117
70953,30188,Woodstock,GA,Atlanta,Cherokee,226,116
58666,2155,Medford,MA,Boston,Middlesex,227,346
74187,37130,Murfreesboro,TN,Nashville,Rutherford,228,114
95992,90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,229,318
95315,87121,Albuquerque,NM,Albuquerque,Bernalillo,230,91
71902,32256,Jacksonville,FL,Jacksonville,Duval,231,107
72365,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,232,152
67787,23666,Hampton,VA,Virginia Beach,Hampton City,233,110
65791,19124,Philadelphia,PA,Philadelphia,Philadelphia,234,72
96006,90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,235,580
70808,30022,Johns Creek,GA,Atlanta,Fulton,236,146
96008,90027,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,237,745
83519,58103,Fargo,ND,Fargo,Cass,238,158
72393,33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,239,138
73014,34135,Bonita Springs,FL,Fort Myers,Lee,240,177
70825,30040,Cumming,GA,Atlanta,Forsyth,241,116
93146,79938,El Paso,TX,El Paso,El Paso,242,81
71871,32218,Jacksonville,FL,Jacksonville,Duval,243,84
92125,77845,College Station,TX,College Station,Brazos,244,118
72392,33063,Margate,FL,Miami-Fort Lauderdale,Broward,245,124
76983,44077,Painesville,OH,Cleveland,Lake,246,89
91731,77082,Houston,TX,Houston,Harris,247,84
76471,43026,Hilliard,OH,Columbus,Franklin,248,120
67720,23452,Virginia Beach,VA,Virginia Beach,Virginia Beach City,249,153
70835,30052,Loganville,GA,Atlanta,Walton,250,90
61895,10701,Yonkers,NY,New York,Westchester,251,265
96221,90731,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,252,414
69431,27587,Wake Forest,NC,Raleigh,Wake,253,125
72532,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,254,68
93490,80634,Greeley,CO,Greeley,Weld,255,131
73183,34711,Clermont,FL,Orlando,Lake,256,117
96364,91335,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,257,348
89249,71913,Hot Springs,AR,Hot Springs,Garland,258,84
74815,38401,Columbia,TN,Nashville,Maury,259,98
99252,97402,Eugene,OR,Eugene,Lane,260,162
97991,95123,San Jose,CA,San Jose,Santa Clara,261,491
84618,60616,Chicago,IL,Chicago,Cook,262,243
71837,32174,Ormond Beach,FL,Daytona Beach,Volusia,263,120
97751,94544,Hayward,CA,San Francisco,Alameda,264,432
70826,30041,Cumming,GA,Atlanta,Forsyth,265,124
58743,2360,Plymouth,MA,Boston,Plymouth,266,203
66125,20001,Washington,DC,Washington,District of Columbia,267,585
76595,43228,Columbus,OH,Columbus,Franklin,268,85
97328,93550,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,269,154
95785,89052,Henderson,NV,Las Vegas,Clark,270,167
71038,30318,Atlanta,GA,Atlanta,Fulton,271,122
62019,11208,New York,NY,New York,Kings,272,317
66825,21215,Baltimore,MD,Baltimore,Baltimore City,273,99
90727,75150,Mesquite,TX,Dallas-Fort Worth,Dallas,274,98
89528,72401,Jonesboro,AR,Jonesboro,Craighead,275,73
97717,94509,Antioch,CA,San Francisco,Contra Costa,276,226
85941,63123,Affton,MO,St. Louis,Saint Louis,277,134
98411,95747,Roseville,CA,Sacramento,Placer,278,215
97225,93309,Bakersfield,CA,Bakersfield,Kern,279,124
95819,89123,Las Vegas,NV,Las Vegas,Clark,280,140
66242,20147,Ashburn,VA,Washington,Loudoun,281,225
65933,19446,Lansdale,PA,Philadelphia,Montgomery,282,157
61200,8831,Monroe Township,NJ,New York,Middlesex,283,183
76501,43068,Reynoldsburg,OH,Columbus,Franklin,284,89
73233,34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,285,113
